"match_id","api_id","datetime","winner"
"1A1",2497057,2025-07-08 18:02:14,"oxidiot"
"1A2",2497480,2025-07-08 19:12:40,"TigerMCSR"
"1A3",2497896,2025-07-08 20:26:32,"TigerMCSR"
"1B1",2503638,2025-07-09 17:59:51,"infume"
"1B2",2504040,2025-07-09 19:11:57,"infume"
"1B3",2504427,2025-07-09 20:24:47,"infume"
"1C1",2544691,2025-07-15 18:04:20,"Feinberg"
"1C2",2545215,2025-07-15 19:47:06,"Feinberg"
"1C3",2545605,2025-07-15 21:04:32,"Feinberg"
"1D1",2565434,2025-07-18 22:01:16,"SuperC__"
"1D2",2565762,2025-07-18 23:13:08,"SuperC__"
"1D3",2566012,2025-07-19 00:22:49,"SuperC__"
"1E1",2616252,2025-07-26 20:02:33,"Snakezy"
"1E2",2616659,2025-07-26 21:14:22,"Snakezy"
"1E3",2617037,2025-07-26 22:28:34,"blakwolf_"
